ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Minimum Number of Refueling Stops,40.4%,Hard,86.4,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
3,Isomorphic Strings,46.4%,Easy,86.4,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
4,3Sum,36.4%,Medium,86.4,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
5,Permutations,80.1%,Medium,75.7,https://leetcode.com/problems/permutations,"Array, Backtracking"
6,Merge Sorted Array,52.3%,Easy,75.7,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
7,Find K Pairs with Smallest Sums,40.4%,Medium,75.7,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
8,Maximum Employees to Be Invited to a Meeting,62.3%,Hard,75.7,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
9,Maximum Subarray,51.7%,Medium,75.7,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
10,Valid Parentheses,41.8%,Easy,75.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Climbing Stairs,53.3%,Easy,75.7,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
12,Count Submatrices with Top-Left Element and Sum Less Than k,58.4%,Medium,75.7,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,"Array, Matrix, Prefix Sum"
13,Double Modular Exponentiation,48.2%,Medium,75.7,https://leetcode.com/problems/double-modular-exponentiation,"Array, Math, Simulation"
14,Furthest Point From Origin,65.0%,Easy,75.7,https://leetcode.com/problems/furthest-point-from-origin,"String, Counting"
15,Mark Elements on Array by Performing Queries,49.1%,Medium,75.7,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
