ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Merge Sorted Array,52.3%,Easy,82.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
3,Longest Substring Without Repeating Characters,36.3%,Medium,80.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Add Two Numbers,45.4%,Medium,78.2,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
5,Trapping Rain Water,64.3%,Hard,77.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
6,Longest Palindromic Substring,35.3%,Medium,76.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
7,Valid Parentheses,41.8%,Easy,74.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Maximum Subarray,51.7%,Medium,74.0,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
9,Merge Intervals,48.8%,Medium,73.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
10,Roman to Integer,64.2%,Easy,73.3,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
11,Reverse Nodes in k-Group,62.0%,Hard,73.0,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
12,3Sum,36.4%,Medium,71.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
13,Median of Two Sorted Arrays,42.9%,Hard,71.3,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
14,Spiral Matrix,52.9%,Medium,70.9,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
15,Group Anagrams,70.3%,Medium,70.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
16,Container With Most Water,57.2%,Medium,69.0,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
17,Merge Two Sorted Lists,66.3%,Easy,69.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
18,Search in Rotated Sorted Array,42.3%,Medium,68.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
19,Rotate Image,77.2%,Medium,66.8,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Merge k Sorted Lists,55.8%,Hard,66.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
21,Climbing Stairs,53.3%,Easy,66.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
22,Palindrome Number,58.7%,Easy,65.4,https://leetcode.com/problems/palindrome-number,Math
23,Letter Combinations of a Phone Number,63.1%,Medium,65.4,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
24,Longest Common Prefix,44.9%,Easy,64.4,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
25,Minimum Path Sum,65.8%,Medium,63.3,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
26,Set Matrix Zeroes,58.9%,Medium,62.8,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
27,Reverse Integer,29.9%,Medium,62.2,https://leetcode.com/problems/reverse-integer,Math
28,Remove Duplicates from Sorted Array,59.5%,Easy,61.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
29,Generate Parentheses,76.5%,Medium,61.0,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
30,Sort Colors,66.4%,Medium,60.4,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
31,Word Search,44.6%,Medium,59.1,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
32,Next Permutation,42.3%,Medium,56.9,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
33,Largest Rectangle in Histogram,46.6%,Hard,56.1,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
34,Regular Expression Matching,29.0%,Hard,56.1,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
35,Valid Sudoku,61.7%,Medium,55.3,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
36,First Missing Positive,40.6%,Hard,55.3,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
37,Jump Game,39.1%,Medium,54.5,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
38,Remove Element,59.4%,Easy,53.6,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
39,String to Integer (atoi),18.7%,Medium,53.6,https://leetcode.com/problems/string-to-integer-atoi,String
40,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,52.6,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
41,Jump Game II,41.1%,Medium,51.7,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
42,Remove Nth Node From End of List,48.1%,Medium,51.7,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
43,Combination Sum,73.9%,Medium,51.7,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
44,Validate Binary Search Tree,34.0%,Medium,50.6,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
